
=== BRASIL CONSOLIDADO - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
INSTITUTO DE SAUDE DOS SERVIDORES DO ESTADO DO CEARA - ISSEC;432;1.30%
Outros (497 itens);6246;18.75%
Sigiloso;928;2.79%
TOTAL GERAL;33310;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ASSOCIACAO PRIVADA;9452;28.38%
MUNICIPIO;7459;22.39%
ESTADO OU DISTRITO FEDERAL;7025;21.09%
COOPERATIVA;2195;6.59%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1590;4.77%
ND;1490;4.47%
SOCIEDADE ANONIMA FECHADA;1181;3.55%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;1028;3.09%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;436;1.31%
AUTARQUIA MUNICIPAL;133;0.40%
Outros (23 itens);393;1.18%
Sigiloso;928;2.79%
TOTAL GERAL;33310;100.00%




=== REGIONAL NE_TJMA_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12489;3025;20.12%
12503;1740;11.57%
12500;1597;10.62%
12506;861;5.73%
12494;840;5.59%
12495;710;4.72%
12502;627;4.17%
12490;574;3.82%
12487;456;3.03%
13605;437;2.91%
Outros (140 itens);4171;27.74%
TOTAL GERAL;15038;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ESTADO DO MARANHAO - DEFENSORIA PUBLICA DO ESTADO DO MARANHAO;1066;20.24%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;428;8.13%
ESTADO DO MARANHAO - PROCURADORIA GERAL DA JUSTICA;424;8.05%
HAPVIDA ASSISTENCIA MEDICA S.A.;254;4.82%
ESTADO DO MARANHAO;245;4.65%
HUMANA ASSISTENCIA MEDICA LTDA;205;3.89%
MUNICIPIO DE IMPERATRIZ;160;3.04%
SUL AMERICA COMPANHIA DE SEGURO SAUDE;100;1.90%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;97;1.84%
GEAP AUTOGESTAO EM SAUDE;93;1.77%
Outros (179 itens);834;15.84%
Sigiloso;1360;25.83%
TOTAL GERAL;5266;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;1490;28.29%
SOCIEDADE ANONIMA FECHADA;925;17.57%
MUNICIPIO;405;7.69%
SOCIEDADE EMPRESARIA LIMITADA;327;6.21%
ESTADO OU DISTRITO FEDERAL;245;4.65%
COOPERATIVA;171;3.25%
FUNDACAO PRIVADA;99;1.88%
ASSOCIACAO PRIVADA;82;1.56%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;66;1.25%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;56;1.06%
Outros (7 itens);40;0.76%
Sigiloso;1360;25.83%
TOTAL GERAL;5266;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DO MARANHAO;5268;34.20%
MUNICIPIO DE SAO LUIS;2126;13.80%
MUNICIPIO DE IMPERATRIZ;884;5.74%
HUMANA ASSISTENCIA MEDICA LTDA;377;2.45%
BRADESCO SAUDE S/A;286;1.86%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;285;1.85%
MUNICIPIO DE ACAILANDIA;239;1.55%
HAPVIDA ASSISTENCIA MEDICA S.A.;219;1.42%
CAIXA DE ASSISTENCIA DOS FUNCIONARIOS DO BANCO DO BRASIL;212;1.38%
MUNICIPIO DE BACABAL;194;1.26%
Outros (399 itens);3955;25.67%
Sigiloso;1360;8.83%
TOTAL GERAL;15405;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;5268;34.20%
MUNICIPIO;4679;30.37%
SOCIEDADE ANONIMA FECHADA;1272;8.26%
SOCIEDADE EMPRESARIA LIMITADA;1115;7.24%
COOPERATIVA;564;3.66%
ASSOCIACAO PRIVADA;330;2.14%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;256;1.66%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;173;1.12%
FUNDACAO PRIVADA;161;1.05%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;71;0.46%
Outros (18 itens);156;1.01%
Sigiloso;1360;8.83%
TOTAL GERAL;15405;100.00%




=== REGIONAL NE_TJPB_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12484;2529;28.27%
12486;1389;15.53%
12489;995;11.12%
12485;928;10.37%
12501;557;6.23%
12487;314;3.51%
12490;250;2.79%
12496;242;2.71%
12500;186;2.08%
12498;181;2.02%
Outros (28 itens);1375;15.37%
TOTAL GERAL;8946;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
MINISTERIO PUBLICO DO ESTADO DA PARAIBA - PGJ;1120;35.31%
ESTADO DA PARAIBA;289;9.11%
UNIMED JOAO PESSOA COOPERATIVA DE TRABALHO MEDICO;234;7.38%
UNIMED C. GRANDE COOPERATIVA DE TRABALHO MEDICO LTDA;112;3.53%
ESMALE ASSISTENCIA INTERNACIONAL DE SAUDE LTDA;94;2.96%
DEFENSORIA PUBLICA DO ESTADO DA PARAIBA;64;2.02%
ALLCARE ADMINISTRADORA DE BENEFICIOS SAO PAULO LTDA;56;1.77%
MUNICIPIO DE CAMPINA GRANDE;52;1.64%
GEAP AUTOGESTAO EM SAUDE;39;1.23%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;36;1.13%
Outros (180 itens);646;20.37%
Sigiloso;430;13.56%
TOTAL GERAL;3172;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1211;38.18%
COOPERATIVA;456;14.38%
ESTADO OU DISTRITO FEDERAL;289;9.11%
MUNICIPIO;261;8.23%
SOCIEDADE EMPRESARIA LIMITADA;185;5.83%
SOCIEDADE ANONIMA FECHADA;110;3.47%
ND;89;2.81%
FUNDACAO PRIVADA;41;1.29%
ASSOCIACAO PRIVADA;34;1.07%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;14;0.44%
Outros (11 itens);52;1.64%
Sigiloso;430;13.56%
TOTAL GERAL;3172;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DA PARAIBA;2778;27.66%
MUNICIPIO DE CAMPINA GRANDE;945;9.41%
UNIMED JOAO PESSOA COOPERATIVA DE TRABALHO MEDICO;719;7.16%
UNIMED C. GRANDE COOPERATIVA DE TRABALHO MEDICO LTDA;285;2.84%
JOAO PESSOA SECRETARIA DE FINANCAS SEFIN;227;2.26%
SECRETARIA DE ESTADO DA SAUDE - SES;222;2.21%
ESMALE ASSISTENCIA INTERNACIONAL DE SAUDE LTDA;196;1.95%
MUNICIPIO DE SOUSA;189;1.88%
PROCURADORIA GERAL DO ESTADO;169;1.68%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;138;1.37%
Outros (444 itens);3745;37.29%
Sigiloso;430;4.28%
TOTAL GERAL;10043;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;2780;27.68%
MUNICIPIO;2563;25.52%
COOPERATIVA;1546;15.39%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;642;6.39%
SOCIEDADE ANONIMA FECHADA;586;5.83%
SOCIEDADE EMPRESARIA LIMITADA;467;4.65%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;257;2.56%
ND;152;1.51%
ASSOCIACAO PRIVADA;147;1.46%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;136;1.35%
Outros (16 itens);337;3.36%
Sigiloso;430;4.28%
TOTAL GERAL;10043;100.00%




=== REGIONAL NE_TJPE_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12489;15643;34.89%
12488;4606;10.27%
12487;2035;4.54%
12490;1902;4.24%
9196;1707;3.81%
12500;1475;3.29%
10434;1195;2.67%
12416;1052;2.35%
12503;1001;2.23%
10671;968;2.16%
Outros (211 itens);13246;29.55%
TOTAL GERAL;44830;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
SUL AMERICA COMPANHIA DE SEGURO SAUDE;2767;21.94%
HAPVIDA ASSISTENCIA MEDICA S.A.;1429;11.33%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;1268;10.05%
BRADESCO SAUDE S/A;1045;8.29%
UNIMED RECIFE COOPERATIVA DE TRABALHO MEDICO;976;7.74%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;211;1.67%
CAIXA DE ASSISTENCIA DOS FUNCIONARIOS DO BANCO DO BRASIL;194;1.54%
ESTADO DE PERNAMBUCO;173;1.37%
GEAP AUTOGESTAO EM SAUDE;122;0.97%
SUL AMERICA SEGURO SAUDE S.A.;120;0.95%
Outros (1048 itens);2623;20.80%
Sigiloso;1683;13.35%
TOTAL GERAL;12611;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
SOCIEDADE ANONIMA FECHADA;6974;55.30%
COOPERATIVA;1618;12.83%
SOCIEDADE EMPRESARIA LIMITADA;1109;8.79%
ASSOCIACAO PRIVADA;366;2.90%
ESTADO OU DISTRITO FEDERAL;173;1.37%
MUNICIPIO;169;1.34%
FUNDACAO PRIVADA;152;1.21%
EMPRESARIO (INDIVIDUAL);127;1.01%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;57;0.45%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;55;0.44%
Outros (17 itens);128;1.01%
Sigiloso;1683;13.35%
TOTAL GERAL;12611;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
SUL AMERICA COMPANHIA DE SEGURO SAUDE;3331;13.74%
ESTADO DE PERNAMBUCO;3039;12.54%
BRADESCO SAUDE S/A;2156;8.89%
HAPVIDA ASSISTENCIA MEDICA S.A.;1930;7.96%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;1661;6.85%
UNIMED RECIFE COOPERATIVA DE TRABALHO MEDICO;1654;6.82%
CAIXA DE ASSISTENCIA DOS FUNCIONARIOS DO BANCO DO BRASIL;501;2.07%
MUNICIPIO DO RECIFE;469;1.93%
INSTITUTO DE RECURSOS HUMANOS DE PERNAMBUCO - IRH-PE;420;1.73%
QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.;412;1.70%
Outros (845 itens);6985;28.81%
Sigiloso;1683;6.94%
TOTAL GERAL;24241;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
SOCIEDADE ANONIMA FECHADA;10386;42.84%
COOPERATIVA;3396;14.01%
ESTADO OU DISTRITO FEDERAL;3041;12.54%
MUNICIPIO;1934;7.98%
SOCIEDADE EMPRESARIA LIMITADA;1568;6.47%
ASSOCIACAO PRIVADA;851;3.51%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;420;1.73%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;261;1.08%
FUNDACAO PRIVADA;223;0.92%
SOCIEDADE ANONIMA ABERTA;195;0.80%
Outros (25 itens);283;1.17%
Sigiloso;1683;6.94%
TOTAL GERAL;24241;100.00%




=== REGIONAL NE_TJPI_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12489;706;15.07%
12503;301;6.42%
12495;232;4.95%
12506;228;4.87%
12486;219;4.67%
12500;213;4.55%
12487;205;4.37%
12494;202;4.31%
12505;153;3.27%
13605;152;3.24%
Outros (124 itens);2075;44.28%
TOTAL GERAL;4686;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
PIAUI PROCURADORIA GERAL DA JUSTICA;160;15.25%
HUMANA ASSISTENCIA MEDICA LTDA;155;14.78%
ESTADO DO PIAUI;113;10.77%
UNIMED TERESINA COOPERATIVA DE TRABALHO MEDICO;92;8.77%
FUNDACAO MUNICIPAL DE SAUDE;29;2.76%
INST. DE ASSIST. A SAUDE DOS SERVIDORES PUBLICOS DO EST. DO PIAUI-IASPI;19;1.81%
MUNICIPIO DE TERESINA;13;1.24%
MEDPLAN ASSISTENCIA MEDICA LTDA;8;0.76%
CAIXA DE ASSISTENCIA DOS FUNCIONARIOS DO BANCO DO BRASIL;6;0.57%
HAPVIDA ASSISTENCIA MEDICA S.A.;5;0.48%
Outros (47 itens);95;9.06%
Sigiloso;354;33.75%
TOTAL GERAL;1049;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
SOCIEDADE EMPRESARIA LIMITADA;173;16.49%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;160;15.25%
ESTADO OU DISTRITO FEDERAL;113;10.77%
COOPERATIVA;102;9.72%
MUNICIPIO;49;4.67%
FUNDACAO PUBLICA DE DIREITO PUBLICO MUNICIPAL;29;2.76%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;19;1.81%
ASSOCIACAO PRIVADA;14;1.33%
SOCIEDADE ANONIMA FECHADA;10;0.95%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;6;0.57%
Outros (7 itens);20;1.91%
Sigiloso;354;33.75%
TOTAL GERAL;1049;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DO PIAUI;877;28.53%
FUNDACAO MUNICIPAL DE SAUDE;299;9.73%
UNIMED TERESINA COOPERATIVA DE TRABALHO MEDICO;258;8.39%
HUMANA ASSISTENCIA MEDICA LTDA;191;6.21%
INST. DE ASSIST. A SAUDE DOS SERVIDORES PUBLICOS DO EST. DO PIAUI-IASPI;162;5.27%
MUNICIPIO DE TERESINA;138;4.49%
PIAUI SECRETARIA DE SAUDE;84;2.73%
HAPVIDA ASSISTENCIA MEDICA S.A.;53;1.72%
MUNICIPIO DE PARNAIBA;38;1.24%
ASSOCIACAO PIAUIENSE DE COMBATE AO CANCER ALCENOR ALMEIDA;36;1.17%
Outros (175 itens);584;19.00%
Sigiloso;354;11.52%
TOTAL GERAL;3074;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;878;28.56%
MUNICIPIO;432;14.05%
FUNDACAO PUBLICA DE DIREITO PUBLICO MUNICIPAL;299;9.73%
COOPERATIVA;292;9.50%
SOCIEDADE EMPRESARIA LIMITADA;243;7.91%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;163;5.30%
SOCIEDADE ANONIMA FECHADA;97;3.16%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;91;2.96%
ASSOCIACAO PRIVADA;65;2.11%
SOCIEDADE SIMPLES LIMITADA;48;1.56%
Outros (16 itens);112;3.64%
Sigiloso;354;11.52%
TOTAL GERAL;3074;100.00%




=== REGIONAL NE_TJRN_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12486;3851;16.08%
12489;2542;10.61%
12501;1614;6.74%
12503;1128;4.71%
12494;1000;4.18%
12500;950;3.97%
12487;845;3.53%
12484;812;3.39%
12491;744;3.11%
11811;716;2.99%
Outros (243 itens);9749;40.70%
TOTAL GERAL;23951;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
DEFENSORIA PUBLICA DO ESTADO DO RIO GRANDE DO NORTE;1251;28.08%
UNIMED NATAL SOCIEDADE COOPERATIVA DE TRABALHO MEDICO;490;11.00%
ESTADO DO RIO GRANDE DO NORTE;442;9.92%
HAPVIDA ASSISTENCIA MEDICA S.A.;117;2.63%
HUMANA ASSISTENCIA MEDICA LTDA;103;2.31%
MUNICIPIO DE MOSSORO;77;1.73%
RIO GRANDE DO NORTE PROCURADORIA GERAL DO ESTADO;68;1.53%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;66;1.48%
MUNICIPIO DE APODI;38;0.85%
MINISTERIO PUBLICO DO ESTADO DO RIO GRANDE DO NORTE;27;0.61%
Outros (247 itens);603;13.54%
Sigiloso;1173;26.33%
TOTAL GERAL;4455;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;1278;28.69%
COOPERATIVA;544;12.21%
ESTADO OU DISTRITO FEDERAL;442;9.92%
SOCIEDADE ANONIMA FECHADA;244;5.48%
MUNICIPIO;223;5.01%
SOCIEDADE EMPRESARIA LIMITADA;189;4.24%
ND;131;2.94%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;109;2.45%
ASSOCIACAO PRIVADA;33;0.74%
EMPRESARIO (INDIVIDUAL);29;0.65%
Outros (9 itens);60;1.35%
Sigiloso;1173;26.33%
TOTAL GERAL;4455;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DO RIO GRANDE DO NORTE;5433;28.46%
UNIMED NATAL SOCIEDADE COOPERATIVA DE TRABALHO MEDICO;2337;12.24%
HAPVIDA ASSISTENCIA MEDICA S.A.;1386;7.26%
HUMANA ASSISTENCIA MEDICA LTDA;845;4.43%
MUNICIPIO DE NATAL;818;4.28%
RIO GRANDE DO NORTE SECRETARIA DA SAUDE PUBLICA;633;3.32%
RIO GRANDE DO NORTE PROCURADORIA GERAL DO ESTADO;492;2.58%
MUNICIPIO DE MOSSORO;487;2.55%
FUNDO ESTADUAL DE SAUDE DO RIO GRANDE DO NORTE;433;2.27%
MUNICIPIO DE PARNAMIRIM;336;1.76%
Outros (465 itens);4717;24.71%
Sigiloso;1173;6.14%
TOTAL GERAL;19090;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;5435;28.47%
MUNICIPIO;3304;17.31%
COOPERATIVA;2727;14.28%
SOCIEDADE ANONIMA FECHADA;2406;12.60%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1561;8.18%
SOCIEDADE EMPRESARIA LIMITADA;1312;6.87%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;433;2.27%
ND;207;1.08%
ASSOCIACAO PRIVADA;203;1.06%
FUNDACAO PRIVADA;109;0.57%
Outros (16 itens);220;1.15%
Sigiloso;1173;6.14%
TOTAL GERAL;19090;100.00%




=== REGIONAL NE_TJSE_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
9196;1498;14.72%
8843;1193;11.72%
12416;806;7.92%
12495;685;6.73%
12489;592;5.82%
12487;449;4.41%
10671;419;4.12%
9047;391;3.84%
12494;350;3.44%
12503;309;3.04%
Outros (152 itens);3487;34.26%
TOTAL GERAL;10179;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ESTADO DE SERGIPE;755;38.66%
MUNICIPIO DE ARACAJU;192;9.83%
MUNICIPIO DE ESTANCIA;110;5.63%
SERGIPE MINISTERIO PUBLICO;103;5.27%
SECRETARIA DE ESTADO DA FAZENDA;58;2.97%
FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE SERGIPE - FEMP/SE;51;2.61%
UNIMED SERGIPE - COOPERATIVA DE TRABALHO MEDICO;41;2.10%
HAPVIDA ASSISTENCIA MEDICA S.A.;28;1.43%
MUNICIPIO DE SIMAO DIAS;27;1.38%
INSTITUTO DE PROMOCAO E DE ASSISTENCIA A SAUDE DE SERVIDORES DO ESTADO DE SERGIPE - IPESAUDE;22;1.13%
Outros (87 itens);258;13.21%
Sigiloso;308;15.77%
TOTAL GERAL;1953;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;755;38.66%
MUNICIPIO;413;21.15%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;103;5.27%
SOCIEDADE ANONIMA FECHADA;81;4.15%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;64;3.28%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;56;2.87%
COOPERATIVA;55;2.82%
SOCIEDADE EMPRESARIA LIMITADA;26;1.33%
ND;26;1.33%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;22;1.13%
Outros (7 itens);44;2.25%
Sigiloso;308;15.77%
TOTAL GERAL;1953;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE SERGIPE;1959;44.24%
MUNICIPIO DE ARACAJU;392;8.85%
SECRETARIA DE ESTADO DA FAZENDA;139;3.14%
HAPVIDA ASSISTENCIA MEDICA S.A.;127;2.87%
UNIMED SERGIPE - COOPERATIVA DE TRABALHO MEDICO;120;2.71%
MUNICIPIO DE ESTANCIA;89;2.01%
INSTITUTO DE PROMOCAO E DE ASSISTENCIA A SAUDE DE SERVIDORES DO ESTADO DE SERGIPE - IPESAUDE;84;1.90%
MUNICIPIO DE NOSSA SENHORA DO SOCORRO;74;1.67%
MUNICIPIO DE LAGARTO;70;1.58%
MUNICIPIO DE SIMAO DIAS;68;1.54%
Outros (172 itens);998;22.54%
Sigiloso;308;6.96%
TOTAL GERAL;4428;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;1959;44.24%
MUNICIPIO;1184;26.74%
SOCIEDADE ANONIMA FECHADA;259;5.85%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;149;3.36%
COOPERATIVA;142;3.21%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;86;1.94%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;64;1.45%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;63;1.42%
SOCIEDADE EMPRESARIA LIMITADA;59;1.33%
ASSOCIACAO PRIVADA;49;1.11%
Outros (13 itens);106;2.39%
Sigiloso;308;6.96%
TOTAL GERAL;4428;100.00%




=== REGIONAL NO_TJAC_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12489;207;23.55%
12500;87;9.90%
12491;55;6.26%
12487;52;5.92%
12484;44;5.01%
12495;40;4.55%
12480;38;4.32%
12503;37;4.21%
12494;36;4.10%
12486;35;3.98%
Outros (43 itens);248;28.21%
TOTAL GERAL;879;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
MINISTERIO PUBLICO DO ESTADO DO ACRE;38;10.86%
UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA;34;9.71%
GOVERNO DO ESTADO DO ACRE;28;8.00%
ESTADO DO ACRE;10;2.86%
BRADESCO SAUDE S/A;8;2.29%
GEAP AUTOGESTAO EM SAUDE;5;1.43%
PODER JUDICIARIO;5;1.43%
ELENI M A CASTRO;4;1.14%
SECRETARIA DE ESTADO DA FAZENDA - SEFAZ;4;1.14%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;4;1.14%
Outros (26 itens);37;10.57%
Sigiloso;173;49.43%
TOTAL GERAL;350;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;76;21.71%
COOPERATIVA;41;11.71%
SOCIEDADE ANONIMA FECHADA;10;2.86%
MUNICIPIO;10;2.86%
ESTADO OU DISTRITO FEDERAL;10;2.86%
ND;9;2.57%
FUNDACAO PRIVADA;5;1.43%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;5;1.43%
EMPRESARIO (INDIVIDUAL);4;1.14%
ASSOCIACAO PRIVADA;3;0.86%
Outros (4 itens);4;1.14%
Sigiloso;173;49.43%
TOTAL GERAL;350;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA;135;16.40%
SECRETARIA DE ESTADO DA FAZENDA - SEFAZ;116;14.09%
MUNICIPIO DE RIO BRANCO;65;7.90%
ESTADO DO ACRE;64;7.78%
GOVERNO DO ESTADO DO ACRE;51;6.20%
SECRETARIO ESTADUAL DE SAUDE DO ESTADO DO ACRE;38;4.62%
SECRETARIA DE ESTADO DE SAUDE;20;2.43%
FUNDACAO HOSPITAL ESTADUAL DO ACRE;16;1.94%
MINISTERIO PUBLICO DO ESTADO DO ACRE;16;1.94%
FEDERACAO DAS UNIMEDS DA AMAZONIA - FEDERACAO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MEDICO DO ACRE  AMAPA  AMAZONAS  PARA  RONDONIA E RORAIMA;8;0.97%
Outros (65 itens);121;14.70%
Sigiloso;173;21.02%
TOTAL GERAL;823;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;212;25.76%
COOPERATIVA;171;20.78%
MUNICIPIO;87;10.57%
ESTADO OU DISTRITO FEDERAL;64;7.78%
ND;49;5.95%
SOCIEDADE ANONIMA FECHADA;19;2.31%
ASSOCIACAO PRIVADA;17;2.07%
FUNDACAO PUBLICA DE DIREITO PUBLICO ESTADUAL OU DO DISTRITO FEDERAL;16;1.94%
FUNDACAO PRIVADA;6;0.73%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA MUNICIPAL;3;0.36%
Outros (5 itens);6;0.73%
Sigiloso;173;21.02%
TOTAL GERAL;823;100.00%




=== REGIONAL NO_TJAM_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12489;681;35.62%
12503;181;9.47%
12487;144;7.53%
12506;96;5.02%
12488;87;4.55%
12500;86;4.50%
10671;63;3.29%
12496;59;3.09%
12490;45;2.35%
12416;39;2.04%
Outros (64 itens);431;22.54%
TOTAL GERAL;1912;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
PROCURADORIA GERAL DE JUSTICA DO ESTADO DO AMAZONAS;58;10.60%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;42;7.68%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;36;6.58%
ESTADO DO AMAZONAS;31;5.67%
SUL AMERICA COMPANHIA DE SEGURO SAUDE;19;3.47%
DEFENSORIA PUBLICA DO ESTADO DO AMAZONAS;15;2.74%
GEAP AUTOGESTAO EM SAUDE;13;2.38%
HAPVIDA ASSISTENCIA MEDICA S.A.;11;2.01%
UNIMED DE MANAUS COOPERATIVA DE TRABALHO MEDICO LTDA;7;1.28%
UNIMED SEGUROS SAUDE S/A;7;1.28%
Outros (59 itens);108;19.74%
Sigiloso;200;36.56%
TOTAL GERAL;547;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
SOCIEDADE ANONIMA FECHADA;86;15.72%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;58;10.60%
COOPERATIVA;55;10.05%
